Num,Post,Date,Like,Like_ID,Share,Share_ID,Share_Content,Comment,Comment_ID,Comment_Content
1,好久没有更新微博了，今晚微博账号被盗，发布了一堆垃圾信息。。。幸好发现并及时处理了，打扰到朋友们了，不好意思！ ​​​,2015-3-14,0,[],0,[],,0,[],
2,目前梨园各个品种的梨都已售罄，感恩这几年来前前后后所有小伙伴和朋友们的扶持与帮衬！记得有一句话，只要你真正想去做一件事，你会发现全世界都在帮你。一路走来，体会颇深。谢谢了！！！预祝各位朋友节日快乐！ ​​​,2014-9-30,0,[],0,[],,0,[],
3,好吃到没朋友的@良心梨 之香梨，这个周末您买到了吗？如果没有，还来得及哈。集室、周二那里花园自取，还是配送到家都是可以滴。到底有多好吃请戳长微博，预订请戳（售完为止、仅此一批）：http://t.cn/RPiXhjo 好吃到没朋友@良心梨 之香梨（仅此一批） ​​​,2014-9-22,0,[],2,['231124120'],:因为种植面积小再加上成熟期晚的缘故，这几年真正吃到我们梨园香梨的朋友们比较少，但今年香梨品质确实是近几年来最好的，无论是个头还是口感。梨园的帮工们最爱这个品种，每天散工的时候都愿意往家带点，算的上是梨园“压箱底儿”的好货。最后一年了，诚意推荐给各位！希望能让更多的朋友品尝到！ ,1,"['1882237321', '1655179445', '1655179445', '1882237321', '1882237321', '1655179445']",:可以快递吗$:搜到了$: 淘宝搜北京国仁绿色联盟没有啊$怎么购买呀？还有吗？要一箱$可以配送吗？$有淘宝连接吗？微店支付失败
4,@良心梨 之香梨，个头虽小，吃起来是香～甜～多汁～～一箱中最大的一个香梨，已有虫虫入住，虫虫们看好的水果味道一般更好[馋嘴]@集室 的香梨目前数量尚可，仅此一批噢[围观] ​​​,2014-9-19,1,[],0,[],,5,['231124120'],是的，香梨仅此一批，园子里已经没有了。今年梨的品质都还不错，我们也愿意向大家推荐。不同品种的梨，单果重量差异是比较大的，就香梨而言，今年的个头已经算足够大的了。呵呵。
5,【开集通知】9-20周六10-13点，崇文门@北京时尚新世界女子百货 地下一层[心]9-21周日10-14点，三元桥@华润凤凰汇 ，@集室 的门口。@良心梨 预定戳（手机微店）http://t.cn/RPiXhjo ，淘宝请搜索“良心梨” 。周日还有@桃花石生态庄园 的鲜枣。秋天真是收获的季节，下周的团购会是什么呢？一起期待吧 ​​​,2014-9-17,0,[],0,[],,2,"['600307789', '2488224387', '2127192874', '1698972114', '1418375872']",本周拙朴坊只参加周日三元桥市集，周六有事，就不参加了。$这么多商家不参加周日的[泪]$请问集市是可以直接去吗？需要申请或者购买门票吗？第一次去不太了解$什么时候能再来卓展，离家好方便～$请问今天市集西兰花是哪家的啊？
6,本周@良心梨 将是今年最后一批。不光有一直深受大家喜欢的皇冠，还有杨叔梨园数量较少的精品：鸭梨、香梨。赶紧戳：http://t.cn/RPiXhjo （手机）或淘宝搜索“良心梨”预订。感谢大家购买、农友代销、志愿者付出和杨中兴大叔的良心种植！ @良心梨 本周最后一批啦！ ​​​,2014-9-17,0,[],0,[],,0,[],
7,@良心梨 到集室啦！满屋子都是梨香，并且这次杨叔还随箱赠送1—2枚香梨。今天蔬菜、面包也在送来路上。赶紧来集室把梨抱回家吧。预定配送的梨已经发出，配送继续接受预定，截止至下午六点。赶紧猛戳：http://t.cn/RPiXhjo 吧 ​​​,2014-9-12,0,[],1,['231124120'],:梨园的梨已经不多了，估计还能再发一次，以后就没有了。 ,1,['231124120'],梨园的梨已经不多了，估计还能再发一次，以后就没有了。
8,本周六11：30到4点，@北京康莱德酒店ConradBeijing 举办市集，@分享收获CSA @平人农场 @小柳树农园  的新鲜蔬菜，@BoulangerieNanda @布乐奶酪 面包芝士，@山村风物 客家米酒，@TheVeggieTable吃素的 将带来素蛋糕，@刘红中生态枸杞园 @良心梨 和柠檬君的公平贸易产品，还可以成为国际慢食组织会员。 ​​​,2014-9-10,0,[],0,[],,0,[],
9,过去的四周，大家购买超过30000斤@良心梨 ，搬运次数按照最少的两次计算（一进一出）也有30多吨，折合成“搬砖”也可以盖约1000平方的房子咯。本周五继续到达，本周预订请戳：http://t.cn/RPiXhjo （手机）或淘宝搜索“良心梨” 酒香不怕巷子深 梨香不怕梨箱沉 ​​​,2014-9-10,1,"['1843802187', '2735961743']",0,[],,0,[],
10,祝所有朋友们阖家团圆，中秋快乐！ ​​​,2014-9-8,0,[],0,[],,0,[],
